Ticker,CompanyName,SEC_Filings,Sector,SubIndustry,HeadquartersAddress,DateAdded,CIK
EMR,Emerson Electric Company,reports,Industrials,Industrial Conglomerates,"Ferguson, Missouri",1965-03-31,32604
SNI,Scripps Networks Interactive Inc.,reports,Consumer Discretionary,Broadcasting & Cable TV,"Cincinnati, Ohio",2008-07-01,1430602
TGNA,"Tegna, Inc.",reports,Consumer Discretionary,Publishing,"McLean, Virginia",1975-12-31,39899
PCAR,PACCAR Inc.,reports,Industrials,Construction & Farm Machinery & Heavy Trucks,"Bellevue, Washington",1980-12-31,75362
EOG,EOG Resources,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",,821189
EXR,Extra Space Storage,reports,Real Estate,Specialized REITs,"Salt Lake City, UT",2016-01-19,1289490
L,Loews Corp.,reports,Financials,Multi-Sector Holdings,"New York, New York",,60086
COO,The Cooper Companies,reports,Health Care,Health Care Supplies,"Pleasanton, California",2016-09-23,711404
PLD,Prologis,reports,Real Estate,REITs,"San Francisco, California",,1045609
NRG,NRG Energy,reports,Utilities,Independent Power Producers & Energy Traders,"Princeton, New Jersey",2010-01-29,1013871
EW,Edwards Lifesciences,reports,Health Care,Health Care Equipment,"Irvine, California",2011-04-01,1099800
MSFT,Microsoft Corp.,reports,Information Technology,Systems Software,"Redmond, Washington",1994-06-01,789019
XL,XL Capital,reports,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",,875159
HST,Host Hotels & Resorts,reports,Real Estate,REITs,"Bethesda, Maryland",2007-03-20,1070750
D,Dominion Resources,reports,Utilities,Electric Utilities,"Richmond, Virginia",,715957
FBHS,Fortune Brands Home & Security,reports,Industrials,Building Products,"Deerfield, Illinois",2016-06-22,1519751
LLL,L-3 Communications Holdings,reports,Industrials,Industrial Conglomerates,"New York, New York",,1056239
BHI,Baker Hughes Inc,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",,808362
TIF,Tiffany & Co.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",,98246
HSIC,Henry Schein,reports,Health Care,Health Care Distributors,"Melville, New York",2015-03-17,1000228
GOOG,Alphabet Inc Class C,reports,Information Technology,Internet Software & Services,"Mountain View, California",,1652044
LUV,Southwest Airlines,reports,Industrials,Airlines,"Dallas, Texas",1994-07-01,92380
KMI,Kinder Morgan,reports,Energy,Oil & Gas Refining & Marketing & Transportation,"Houston, Texas",2012-05-25,1506307
PGR,Progressive Corp.,reports,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",,80661
AAL,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,6201
KO,Coca Cola Company,reports,Consumer Staples,Soft Drinks,"Atlanta, Georgia",,21344
IFF,Intl Flavors & Fragrances,reports,Materials,Specialty Chemicals,"New York, New York",1976-03-31,51253
HPE,Hewlett Packard Enterprise,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",2015-11-02,1645590
ROST,Ross Stores,reports,Consumer Discretionary,Apparel Retail,"Pleasanton, California",2009-12-21,745732
CFG,Citizens Financial Group,reports,Financials,Regional Banks,"Providence, Rhode Island",2016-01-29,759944
SYK,Stryker Corp.,reports,Health Care,Health Care Equipment,"Kalamazoo, Michigan",,310764
UPS,United Parcel Service,reports,Industrials,Air Freight & Logistics,"Atlanta, Georgia",,1090727
TSO,Tesoro Petroleum Co.,reports,Energy,Oil & Gas Refining & Marketing & Transportation,"San Antonio, Texas",2007-09-27,50104
AAPL,Apple Inc.,reports,Information Technology,Computer Hardware,"Cupertino, California",1982-11-30,320193
ETFC,E*Trade,reports,Financials,Investment Banking & Brokerage,"New York, New York",2004-03-31,1015780
R,Ryder System,reports,Industrials,Industrial Conglomerates,"Miami, Florida",1982-12-31,85961
NFLX,Netflix Inc.,reports,Information Technology,Internet Software & Services,"Los Gatos, California",2010-12-20,1065280
ROK,Rockwell Automation Inc.,reports,Industrials,Industrial Conglomerates,"Milwaukee, Wisconsin",,1024478
AVY,Avery Dennison Corp,reports,Materials,Paper Packaging,"Glendale, California",1987-12-31,8818
ATVI,Activision Blizzard,reports,Information Technology,Home Entertainment Software,"Santa Monica, California",2015-08-31,718877
JBHT,J. B. Hunt Transport Services,reports,Industrials,Trucking,"Lowell, Arkansas",2015-07-01,728535
PSA,Public Storage,reports,Real Estate,REITs,"Glendale, California",,1393311
VRTX,Vertex Pharmaceuticals Inc,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",2013-09-23,875320
WHR,Whirlpool Corp.,reports,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",,106640
HBAN,Huntington Bancshares,reports,Financials,Banks,"Columbus, Ohio",,49196
TSCO,Tractor Supply Company,reports,Consumer Discretionary,Specialty Retail,"Brentwood, Tennessee",2014-01-24,916365
AVB,"AvalonBay Communities, Inc.",reports,Real Estate,Residential REITs,"Arlington, Virginia[3]",2007-01-10,915912
LLY,Lilly (Eli) & Co.,reports,Health Care,Pharmaceuticals,"Indianapolis, Indiana",1970-12-31,59478
NEM,Newmont Mining Corp. (Hldg. Co.),reports,Materials,Gold,"Denver, Colorado",1969-06-30,1164727
CHK,Chesapeake Energy,reports,Energy,Integrated Oil & Gas,"Oklahoma City, Oklahoma",,895126
MO,Altria Group Inc,reports,Consumer Staples,Tobacco,"Richmond, Virginia",,764180
PH,Parker-Hannifin,reports,Industrials,Industrial Conglomerates,"Cleveland, Ohio",1985-11-30,76334
EXPD,Expeditors Int'l,reports,Industrials,Air Freight & Logistics,"Seattle, Washington",2007-10-10,746515
DTE,DTE Energy Co.,reports,Utilities,MultiUtilities,"Detroit, Michigan",,936340
TDG,TransDigm Group,reports,Industrials,Aerospace & Defense,"Cleveland, Ohio",2016-06-03,1260221
ESRX,Express Scripts,reports,Health Care,Health Care Distributors,"Cool Valley, Missouri",2003-09-25,1532063
HAR,Harman Int'l Industries,reports,Consumer Discretionary,Consumer Electronics,"Stamford, Connecticut",,800459
NOC,Northrop Grumman Corp.,reports,Industrials,Aerospace & Defense,"West Falls Church, Virginia",1985-06-30,1133421
CERN,Cerner,reports,Health Care,Health Care Technology,"North Kansas City, Missouri",2010-04-30,804753
YHOO,Yahoo Inc.,reports,Information Technology,Internet Software & Services,"Sunnyvale, California",,1011006
WDC,Western Digital,reports,Information Technology,Computer Storage & Peripherals,"Irvine, California",2009-07-01,106040
COL,Rockwell Collins,reports,Industrials,Industrial Conglomerates,"Cedar Rapids, Iowa",,1137411
M,Macy's Inc.,reports,Consumer Discretionary,Department Stores,"Cincinnati, Ohio",,794367
UNH,United Health Group Inc.,reports,Health Care,Managed Health Care,"Minnetonka, Minnesota",1994-07-01,731766
ROP,Roper Industries,reports,Industrials,Industrial Conglomerates,"Sarasota, Florida",2009-12-23,882835
MET,MetLife Inc.,reports,Financials,Life & Health Insurance,"New York, New York",,1099219
APA,Apache Corporation,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",,6769
AMGN,Amgen Inc,reports,Health Care,Biotechnology,"Thousand Oaks, California",1992-01-02,318154
NWSA,News Corp. Class A,reports,Consumer Discretionary,Publishing,"New York, New York",2013-08-01,1564708
URBN,Urban Outfitters,reports,Consumer Discretionary,Apparel Retail,"Philadelphia, Pennsylvania",2010-02-08,912615
T,AT&T Inc,reports,Telecommunications Services,Integrated Telecommunications Services,"Dallas, Texas",1983-11-30,732717
DOW,Dow Chemical,reports,Materials,Diversified Chemicals,"Midland, Michigan",,29915
NBL,Noble Energy Inc,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2007-10-08,72207
CMA,Comerica Inc.,reports,Financials,Regional Banks,"Dallas, Texas",,28412
VTR,Ventas Inc,reports,Real Estate,REITs,"Chicago, Illinois",2009-03-04,740260
FL,Foot Locker Inc,reports,Consumer Discretionary,Apparel Retail,"New York, New York",2016-04-04,850209
FLR,Fluor Corp.,reports,Industrials,Diversified Commercial Services,"Irving, Texas",1980-03-31,1124198
KIM,Kimco Realty,reports,Real Estate,REITs,"New Hyde Park, New York",,879101
TJX,TJX Companies Inc.,reports,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",1985-09-30,109198
EA,Electronic Arts,reports,Information Technology,Home Entertainment Software,"Redwood City, California",,712515
BCR,Bard (C.R.) Inc.,reports,Health Care,Health Care Equipment,"Murray Hill, New Jersey",1975-06-30,9892
CBG,CBRE Group,reports,Real Estate,Real Estate Services,"Los Angeles, California",,1138118
BBY,Best Buy Co. Inc.,reports,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",,764478
WBA,Walgreens Boots Alliance,reports,Consumer Staples,Drug Retail,"Deerfield, Illinois",1979-12-31,1618921
DVA,DaVita Inc.,reports,Health Care,Health Care Facilities,"Denver, Colorado",2008-07-31,927066
PDCO,Patterson Companies,reports,Health Care,Health Care Supplies,"St. Paul, Minnesota",,891024
CA,"CA, Inc.",reports,Information Technology,Systems Software,"Islandia, New York",1987-07-31,356028
CTAS,Cintas Corporation,reports,Industrials,Diversified Support Services,"Mason, Ohio",,723254
XOM,Exxon Mobil Corp.,reports,Energy,Integrated Oil & Gas,"Irving, Texas",,34088
DFS,Discover Financial Services,reports,Financials,Consumer Finance,"Riverwoods, Illinois",2007-07-02,1393612
BF.B,Brown-Forman Corporation,reports,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",1982-10-31,14693
GT,Goodyear Tire & Rubber,reports,Consumer Discretionary,Tires & Rubber,"Akron, Ohio",,42582
CL,Colgate-Palmolive,reports,Consumer Staples,Household Products,"New York, New York",,21665
NUE,Nucor Corp.,reports,Materials,Steel,"Charlotte, North Carolina",1985-04-30,73309
LB,L Brands Inc.,reports,Consumer Discretionary,Apparel Retail,"Columbus, Ohio",1983-09-30,701985
PBCT,People's United Financial,reports,Financials,Thrifts & Mortgage Finance,"Bridgeport, Connecticut",2008-11-13,1378946
RIG,Transocean,reports,Energy,Oil & Gas Drilling,"Vernier, Switzerland",2013-10-29,1451505
UNM,Unum Group,reports,Financials,Diversified Financial Services,"Chattanooga, Tennessee",1994-03-01,5513
ADS,Alliance Data Systems,reports,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",2013-12-23,1101215
FISV,Fiserv Inc,reports,Information Technology,Internet Software & Services,"Brookfield, Wisconsin",,798354
HPQ,HP Inc.,reports,Information Technology,Computer Hardware,"Palo Alto, California",1974-12-31,47217
TROW,T. Rowe Price Group,reports,Financials,Diversified Financial Services,"Baltimore, Maryland",,1113169
KSU,Kansas City Southern,reports,Industrials,Railroads,"Kansas City, Missouri",2013-05-24,54480
CBS,CBS Corp.,reports,Consumer Discretionary,Broadcasting & Cable TV,"New York, New York",1994-09-01,813828
MAR,Marriott Int'l.,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",,1048286
F,Ford Motor,reports,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",,37996
SIG,Signet Jewelers,reports,Consumer Discretionary,Specialty Stores,"Hamilton, Bermuda",2015-07-29,832988
HUM,Humana Inc.,reports,Health Care,Managed Health Care,"Louisville, Kentucky",,49071
CI,CIGNA Corp.,reports,Health Care,Managed Health Care,"Philadelphia, Pennsylvania",1976-06-30,701221
PEG,Public Serv. Enterprise Inc.,reports,Utilities,Electric Utilities,"Newark, New Jersey",,788784
PNR,Pentair Ltd.,reports,Industrials,Industrial Machinery,"Worsley, UK",2012-10-01,77360
GRMN,Garmin Ltd.,reports,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",2012-12-12,1121788
MPC,Marathon Petroleum,reports,Energy,Oil & Gas Refining & Marketing & Transportation,"Findlay, Ohio",2011-07-01,1510295
FTR,Frontier Communications,reports,Telecommunications Services,Integrated Telecommunications Services,"Stamford, Connecticut",,20520
TXT,Textron Inc.,reports,Industrials,Industrial Conglomerates,"Providence, Rhode Island",1978-12-31,217346
QRVO,Qorvo,reports,Information Technology,Semiconductors,"Greensboro, North Carolina",2015-06-11,1604778
HES,Hess Corporation,reports,Energy,Integrated Oil & Gas,"New York, New York",1984-05-31,4447
DGX,Quest Diagnostics,reports,Health Care,Health Care Facilities,"Madison, New Jersey",,1022079
FB,Facebook,reports,Information Technology,Internet Software & Services,"Menlo Park, California",2013-12-23,1326801
TDC,Teradata Corp.,reports,Information Technology,Application Software,"Miamisburg, Ohio",2007-10-01,816761
CMCSA,Comcast A Corp,reports,Consumer Discretionary,Cable & Satellite,"Philadelphia, Pennsylvania",2015-09-18,1166691
CVX,Chevron Corp.,reports,Energy,Integrated Oil & Gas,"San Ramon, California",,93410
CELG,Celgene Corp.,reports,Health Care,Biotechnology,"Summit, New Jersey",,816284
VZ,Verizon Communications,reports,Telecommunications Services,Integrated Telecommunications Services,"New York, New York",1983-11-30,732712
VLO,Valero Energy,reports,Energy,Oil & Gas Refining & Marketing & Transportation,"San Antonio, Texas",,1035002
SLB,Schlumberger Ltd.,reports,Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands",1965-03-31,87347
PRGO,Perrigo,reports,Health Care,Pharmaceuticals,"Dublin, Ireland",2011-12-19,1585364
EIX,Edison Int'l,reports,Utilities,Electric Utilities,"Rosemead, California",,827052
XLNX,Xilinx Inc,reports,Information Technology,Semiconductors,"San Jose, California",,743988
MAT,Mattel Inc.,reports,Consumer Discretionary,Leisure Products,"El Segundo, California",1982-03-31,63276
MDLZ,Mondelez International,reports,Consumer Staples,Packaged Foods & Meats,"Northfield, Illinois",2012-10-02,1103982
XEC,Cimarex Energy,reports,Energy,Oil & Gas Exploration & Production,"Denver, Colorado",2014-06-21,1168054
BDX,Becton Dickinson,reports,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1972-09-30,10795
CSRA,CSRA Inc.,reports,Information Technology,IT Consulting & Other Services,"Falls Church, Virginia",2015-12-01,1646383
SRE,Sempra Energy,reports,Utilities,MultiUtilities,"San Diego, California",,1032208
ED,Consolidated Edison,reports,Utilities,Electric Utilities,"New York, New York",,1047862
ISRG,Intuitive Surgical Inc.,reports,Health Care,Health Care Equipment,"Sunnyvale, California",2008-06-02,1035267
ZION,Zions Bancorp,reports,Financials,Regional Banks,"Salt Lake City, Utah",,109380
BIIB,BIOGEN IDEC Inc.,reports,Health Care,Biotechnology,"Weston, Massachusetts",,875045
CAT,Caterpillar Inc.,reports,Industrials,Construction & Farm Machinery & Heavy Trucks,"Peoria, Illinois",,18230
ETN,Eaton Corporation,reports,Industrials,Industrial Conglomerates,"Dublin, Ireland",,1551182
MCK,McKesson Corp.,reports,Health Care,Health Care Distributors,"San Francisco, California",,927653
MSI,Motorola Solutions Inc.,reports,Information Technology,Telecommunications Equipment,"Schaumburg, Illinois",,68505
ECL,Ecolab Inc.,reports,Materials,Specialty Chemicals,"St. Paul, Minnesota",1989-01-31,31462
HAL,Halliburton Co.,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",,45012
GPS,Gap (The),reports,Consumer Discretionary,Apparel Retail,"San Francisco, California",1986-08-31,39911
LEG,Leggett & Platt,reports,Industrials,Industrial Conglomerates,"Carthage, Missouri",,58492
EVHC,Envision Healthcare Corp,reports,Health Care,Health Care Services,"Nashville, Tennessee",2016-12-02,895930
MU,Micron Technology,reports,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125
TGT,Target Corp.,reports,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",1976-12-31,27419
UAL,United Continental Holdings,reports,Industrials,Airlines,"Chicago, Illinois",2015-09-03,100517
STT,State Street Corp.,reports,Financials,Diversified Financial Services,"Boston, Massachusetts",,93751
VRSK,Verisk Analytics,reports,Industrials,Research & Consulting Services,"Jersey City, New Jersey",2015-10-08,1442145
EBAY,eBay Inc.,reports,Information Technology,Internet Software & Services,"San Jose, California",,1065088
ZBH,Zimmer Biomet Holdings,reports,Health Care,Health Care Equipment,"Warsaw, Indiana",,1136869
ENDP,Endo International,reports,Health Care,Pharmaceuticals,"Dublin, Ireland",2015-01-27,1100962
TMK,Torchmark Corp.,reports,Financials,Life & Health Insurance,"McKinney, Texas",1989-04-30,320335
JPM,JPMorgan Chase & Co.,reports,Financials,Banks,"New York, New York",1975-06-30,19617
